nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia
Merluza en filete 1 kg aprox,17.5,17.5,productos frescos,pescaderia,Marisco y pescado,KILO
"Parches térmicos terapéuticos para dolor de cuello, hombros y muñecas Thermacare 6 ud.",17.49,2.91,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD
Crema de whisky Baileys salted caramel 70 cl.,17.49,24.99,bebidas,licores y cremas,"Aceite, especias y salsas",LITRO
Maquinilla ProGlide Power Gillette 1 ud.,17.49,17.49,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD
Rotuladores 20 ud Punta Fina STABILO Point 88 Zebrui,17.49,17.49,limpieza y hogar,papeleria,papeleria,UNIDAD
Leche infantil de crecimiento desde 12 meses en polvo Hero Baby Nutrasense Premium 3 lata 800 g.,17.49,21.86,bebe,alimentacion infantil,Bebé,KILO
Vodka Absolut Rasperri sabor fresa 70 cl.,17.49,24.99,bebidas,alcoholes,Bodega,LITRO
Leche infantil de continuación desde 6 meses en polvo Hero Baby Nutrasense Premium 2 lata 800 g.,17.49,21.86,bebe,alimentacion infantil,Bebé,KILO
Leche infantil de continuación 2 desde 6 meses en polvo Nutribén Continuación Pro-a sin aceite de palma lata 800 g.,17.49,21.86,parafarmacia,bebe,"Aceite, especias y salsas",KILO
"Cacao soluble instantáneo Cola Cao Turbo 2,5 kg.",17.45,6.98,la despensa,desayuno,"Cacao, café e infusiones",KILO
Spray protector solar acelerador del bronceado SPF 30 protección alta Tan & Protect Piz Buin 150 ml.,17.45,11.631,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Medallón de solomillo de vacuno 500 g aprox,17.45,34.9,productos frescos,carniceria,Carne,KILO
Ginebra Gordon's 1 l.,17.39,17.39,bebidas,alcoholes,Bodega,LITRO
Tequila Jose Cuervo especial reposado 70 cl.,17.39,24.84,bebidas,alcoholes,Bodega,LITRO
Brandy de Jerez Magno solera reserva 1 l.,17.39,17.39,bebidas,alcoholes,Bodega,LITRO
Leche Biológrica HiPP 2  600 gr,17.39,28.98,bebe,alimentacion infantil,Bebé,KILO
Spray protector solar FP50+ Protege & Hidrata Nivea Sun 270 ml.,17.35,6.431,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Aguardiente Antioqueño 1 l.,17.29,17.29,bebidas,licores y cremas,Bodega,LITRO
"Cecina de vaca extra  IGP ""Cecina de León""  Ezequiel IGP ""Cecina de León"" taco de 300 g aprox",17.25,34.5,productos frescos,charcuteria,Charcutería y quesos,KILO
Loción hidratante corporal Suavinex 750 ml.,17.19,2.291,parafarmacia,bebe,Bebé,100 ML
Gel dermo intenso lipoescultor nocturno Nocturslim E'lifexir 200 ml.,17.19,8.591,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML
Leche infantil de continuación desde 6 meses en polvo Nestlé Nativa 2 pack de 2 unidades de 600 g.,17.19,14.33,bebe,alimentacion infantil,Bebé,KILO
Spray protector solar FP30 Protege & Broncea Nivea Sun 270 ml.,17.15,6.351,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Aceite solar spray activadora del bronceado FP 30 Protege & Broncea Nivea Sun 200 ml.,17.15,8.571,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Seagram'S Ginebra,17.15,24.5,bebidas,alcoholes,Bodega,LITRO
Bruma solar Protege & Resfresca FP 30 Protección alta Nivea 200 ml.,17.15,8.571,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Lavavajillas a máquina platinum plus pastillas todo en uno Fairy 30 ud.,17.15,0.57,limpieza y hogar,productos para cocina,Limpieza y hogar,LAVADO
Café en grano mezcla Marcilla Gran Aroma 1 kg.,17.15,17.15,la despensa,desayuno,"Cacao, café e infusiones",KILO
"Complemento alimenticio con jalea real, vitaminas y hierro en ampollas Revital Vitaminado Forte 1500 20 ud.",17.15,8.571,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 ML
Ginseng complemento alimenticio Jalea Real + Vitaminas Revital 20 ampollas.,17.15,8.571,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 ML
"Pez Espada 1,2 kg aprox",17.1,14.25,productos frescos,pescaderia,Marisco y pescado,KILO
Spray protector solar acelerador del bronceado SPF 30 protección alta Tan & Protect Piz Buin 150 ml.,17.09,11.391,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Limpiador facial granos persistentes Spot Controlling Neutrogena 200 ml.,17.09,8.541,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,100 ML
Licor limoncello Villa Massa 70 cl.,17.09,24.41,bebidas,alcoholes,Bodega,LITRO
Cabezales de recambio con CleanMaximiser Precision Clean Oral-B 4 ud.,17.09,4.27,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD
SPRAY INV.FP30 NIVEA 200,17.09,8.541,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Preparado lácteo infantil de crecimiento desde 2 años en polvo Almirón Advance 4 sin aceite de palma lata 800 g.,17.09,21.36,bebe,alimentacion infantil,"Aceite, especias y salsas",KILO
Champú quinina y edelweiss Klorane 400 ml.,17.09,4.271,parafarmacia,cabello,Cuidado del cabello,100 ML
Preservativos sensitivo suave para mayor sensibilidad 24 ud.,17.09,0.71,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD
Detergente líquido coladas mixtas limpia y protege adiós al separar Micolor 52 lavados.,17.09,0.33,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO
Detergente líquido limpieza profunda Skip 45 lavados.,17.09,0.38,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO
Pienso de pollo para perro adulto Yorkshire Terrier Ultima 3 Kg.,16.95,5.65,mascotas,perros,Mascotas,KILO
Vino tinto crianza tempranillo Portia Selección de Barricas D.O. Ribera de Duero 75 cl.,16.95,16.95,bebidas,vinos,Bodega,UNIDAD
Pienso de pollo para perro Senior Mini Ultima 3 Kg.,16.95,5.65,mascotas,perros,Mascotas,KILO
Paletilla de cordero lechal El Mercado 500 g aprox,16.95,33.9,productos frescos,carniceria,Carne,KILO
Pienso de salmón para perro Medium Ultima 3 Kg.,16.9,5.63,mascotas,perros,"Aceite, especias y salsas",KILO
Set Weleda Caléndula: crema pañal 75 ml y champú - gel de ducha 200 ml.,16.9,16.9,parafarmacia,bebe,Cuidado facial y corporal,UNIDAD
Crema protector solar antialergias solares FP50+ Sensitive Protección Nivea Sun 200 ml.,16.89,8.441,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Colutorio encías Vitis 1000 ml.,16.89,1.691,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Leche infantil de crecimiento desde 1 año a base de proteína de soja Velactín sin lactosa 800 g.,16.89,21.11,bebe,alimentacion infantil,Bebé,KILO
"Ginebra Beefeater 0,0 sin alcohol 70 cl.",16.89,24.13,bebidas,alcoholes,Bodega,LITRO
Espárrago blanco extra grueso 6/18 De Nuestra Tierra 350 g.,16.89,48.26,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
"Tanqueray 0,0",16.89,24.13,bebidas,alcoholes,Bodega,LITRO
Fluido facial solar antimanchas Luminous 630 Nivea Sun 40 ml.,16.89,42.221,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Preparado lácteo de crecimiento 3 desde 12 meses Nutribén Crecimiento Pro + sin aceite de palma lata 800 g.,16.85,21.06,parafarmacia,bebe,"Aceite, especias y salsas",KILO
Detergente líquido jabón de Marsella Omino Bianco 67 lavados,16.85,0.25,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO
Cecina Palcarsa sin gluten y sin lactosa taco de 500 g aprox,16.85,33.7,productos frescos,charcuteria,Charcutería y quesos,KILO
Concentrado de proteína de suero de leche sabor chocolate Prozis 400 g.,16.79,41.97,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Desmaquillante suavidad ojos Avéne 125 ml.,16.79,13.431,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,100 ML
